Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title,Family_Size,Ticket_length,Ticket_prefix
0,3,0,22.0,1,0,7.25,0,0,0,2,5,0
1,1,1,38.0,1,0,71.2833,1,1,1,2,5,1
1,3,1,26.0,0,0,7.925,0,0,2,1,7,2
1,1,1,35.0,1,0,53.1,1,0,1,2,6,3
0,3,0,35.0,0,0,8.05,0,0,0,1,6,3
0,3,0,-999.0,0,0,8.4583,0,2,0,1,6,3
0,1,0,54.0,0,0,51.8625,2,0,0,1,5,3
0,3,0,2.0,3,1,21.075,0,0,3,5,6,3
1,3,1,27.0,0,2,11.1333,0,0,1,3,6,3
1,2,1,14.0,1,0,30.0708,0,1,1,2,6,3
1,3,1,4.0,1,1,16.7,3,0,2,3,4,4
1,1,1,58.0,0,0,26.55,1,0,2,1,6,3
0,3,0,20.0,0,0,8.05,0,0,0,1,4,5
0,3,0,39.0,1,5,31.275,0,0,0,7,6,3
0,3,1,14.0,0,0,7.8542,0,0,2,1,6,3
1,2,1,55.0,0,0,16.0,0,0,1,1,6,3
0,3,0,2.0,4,1,29.125,0,2,3,6,6,3
1,2,0,-999.0,0,0,13.0,0,0,0,1,6,3
0,3,1,31.0,1,0,18.0,0,0,1,2,6,3
1,3,1,-999.0,0,0,7.225,0,1,1,1,4,3
0,2,0,35.0,0,0,26.0,0,0,0,1,6,3
1,2,0,34.0,0,0,13.0,4,0,0,1,6,3
1,3,1,15.0,0,0,8.0292,0,2,2,1,6,3
1,1,0,28.0,0,0,35.5,5,0,0,1,6,3
0,3,1,8.0,3,1,21.075,0,0,2,5,6,3
1,3,1,38.0,1,5,31.3875,0,0,1,7,6,3
0,3,0,-999.0,0,0,7.225,0,1,0,1,4,3
0,1,0,19.0,3,2,263.0,1,0,0,6,5,3
1,3,1,-999.0,0,0,7.8792,0,2,2,1,6,3
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
0,1,0,40.0,0,0,27.7208,0,1,4,1,5,1
1,1,1,-999.0,1,0,146.5208,6,1,1,2,5,1
1,3,1,-999.0,0,0,7.75,0,2,2,1,6,3
0,2,0,66.0,0,0,10.5,0,0,0,1,5,6
0,1,0,28.0,1,0,82.1708,0,1,0,2,5,1
0,1,0,42.0,1,0,52.0,0,0,0,2,6,3
1,3,0,-999.0,0,0,7.2292,0,1,0,1,4,3
0,3,0,21.0,0,0,8.05,0,0,0,1,4,7
0,3,1,18.0,2,0,18.0,0,0,2,3,6,3
1,3,1,14.0,1,0,11.2417,0,1,2,2,4,3
0,3,1,40.0,1,0,9.475,0,0,1,2,4,3
0,2,1,27.0,1,0,21.0,0,0,1,2,5,3
0,3,0,-999.0,0,0,7.8958,0,1,0,1,6,3
1,2,1,3.0,1,2,41.5792,0,1,2,4,4,8
1,3,1,19.0,0,0,7.8792,0,2,2,1,6,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,5,9
0,3,0,-999.0,1,0,15.5,0,2,0,2,6,3
1,3,1,-999.0,0,0,7.75,0,2,2,1,5,3
0,3,0,-999.0,2,0,21.6792,0,1,0,3,4,3
0,3,1,18.0,1,0,17.8,0,0,1,2,6,3
0,3,0,7.0,4,1,39.6875,0,0,3,6,7,3
0,3,0,21.0,0,0,7.8,0,0,0,1,5,10
1,1,1,49.0,1,0,76.7292,4,1,1,2,5,1
1,2,1,29.0,1,0,26.0,0,0,1,2,4,3
0,1,0,65.0,0,1,61.9792,6,1,0,2,6,3
1,1,0,-999.0,0,0,35.5,1,0,0,1,5,3
1,2,1,21.0,0,0,10.5,0,0,2,1,5,6
0,3,0,28.5,0,0,7.2292,0,1,0,1,4,3
1,2,1,5.0,1,2,27.75,0,0,2,4,5,6
0,3,0,11.0,5,2,46.9,0,0,3,8,4,11
0,3,0,22.0,0,0,7.2292,0,1,0,1,4,3
1,1,1,38.0,0,0,80.0,6,0,2,1,6,3
0,1,0,45.0,1,0,83.475,1,0,0,2,5,3
0,3,0,4.0,3,2,27.9,0,0,3,6,6,3
0,1,0,-999.0,0,0,27.7208,0,1,0,1,5,1
1,3,0,-999.0,1,1,15.2458,0,1,3,3,4,3
1,2,1,29.0,0,0,10.5,7,0,1,1,5,6
0,3,0,19.0,0,0,8.1583,0,0,0,1,4,12
1,3,1,17.0,4,2,7.925,0,0,2,7,7,3
0,3,0,26.0,2,0,8.6625,0,0,0,3,6,3
0,2,0,32.0,0,0,10.5,0,0,0,1,5,6
0,3,1,16.0,5,2,46.9,0,0,2,8,4,11
0,2,0,21.0,0,0,73.5,0,0,0,1,5,13
0,3,0,26.0,1,0,14.4542,0,1,0,2,4,3
1,3,0,32.0,0,0,56.4958,0,0,0,1,4,3
0,3,0,25.0,0,0,7.65,7,0,0,1,6,3
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,6,3
1,2,0,0.83,0,2,29.0,0,0,3,3,6,3
1,3,1,30.0,0,0,12.475,0,0,2,1,6,3
0,3,0,22.0,0,0,9.0,0,0,0,1,6,3
1,3,0,29.0,0,0,9.5,0,0,0,1,6,3
1,3,1,-999.0,0,0,7.7875,0,2,2,1,6,3
0,1,0,28.0,0,0,47.1,0,0,0,1,6,3
1,2,1,17.0,0,0,10.5,0,0,2,1,5,14
1,3,1,33.0,3,0,15.85,0,0,1,4,7,3
0,3,0,16.0,1,3,34.375,0,0,0,5,4,15
0,3,0,-999.0,0,0,8.05,0,0,0,1,6,16
1,1,1,23.0,3,2,263.0,1,0,2,6,5,3
0,3,0,24.0,0,0,8.05,0,0,0,1,6,3
0,3,0,29.0,0,0,8.05,0,0,0,1,6,3
0,3,0,20.0,0,0,7.8542,0,0,0,1,6,3
0,1,0,46.0,1,0,61.175,2,0,0,2,4,17
0,3,0,26.0,1,2,20.575,0,0,0,4,4,6
0,3,0,59.0,0,0,7.25,0,0,0,1,6,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,6,3
0,1,0,71.0,0,0,34.6542,5,1,0,1,5,1
1,1,0,23.0,0,1,63.3583,4,1,0,2,5,1
1,2,1,34.0,0,1,23.0,0,0,1,2,6,3
0,2,0,34.0,1,0,26.0,0,0,0,2,6,3
0,3,1,28.0,0,0,7.8958,0,0,2,1,6,3
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
0,1,0,21.0,0,1,77.2875,4,0,0,2,5,3
0,3,0,33.0,0,0,8.6542,0,0,0,1,4,3
0,3,0,37.0,2,0,7.925,0,0,0,3,7,3
0,3,0,28.0,0,0,7.8958,0,0,0,1,6,3
1,3,1,21.0,0,0,7.65,0,0,2,1,6,3
1,3,0,-999.0,0,0,7.775,0,0,0,1,6,3
0,3,0,38.0,0,0,7.8958,0,0,0,1,6,3
1,3,1,-999.0,1,0,24.15,0,2,2,2,6,3
0,1,0,47.0,0,0,52.0,1,0,0,1,6,3
0,3,1,14.5,1,0,14.4542,0,1,2,2,4,3
0,3,0,22.0,0,0,8.05,0,0,0,1,6,3
0,3,1,20.0,1,0,9.825,0,0,2,2,4,3
0,3,1,17.0,0,0,14.4583,0,1,2,1,4,3
0,3,0,21.0,0,0,7.925,0,0,0,1,7,3
0,3,0,70.5,0,0,7.75,0,2,0,1,6,3
0,2,0,29.0,1,0,21.0,0,0,0,2,5,3
0,1,0,24.0,0,1,247.5208,6,1,0,2,5,1
0,3,1,2.0,4,2,31.275,0,0,2,7,6,3
0,2,0,21.0,2,0,73.5,0,0,0,3,5,13
0,3,0,-999.0,0,0,8.05,0,0,0,1,5,18
0,2,0,32.5,1,0,30.0708,0,1,0,2,6,3
1,2,1,32.5,0,0,13.0,2,0,2,1,5,3
0,1,0,54.0,0,1,77.2875,4,0,0,2,5,3
1,3,0,12.0,1,0,11.2417,0,1,3,2,4,3
0,3,0,-999.0,0,0,7.75,0,2,0,1,6,3
1,3,0,24.0,0,0,7.1417,0,0,0,1,5,19
1,3,1,-999.0,1,1,22.3583,7,1,2,3,4,3
0,3,0,45.0,0,0,6.975,0,0,0,1,6,3
0,3,0,33.0,0,0,7.8958,0,1,0,1,6,3
0,3,0,20.0,0,0,7.05,0,0,0,1,7,20
0,3,1,47.0,1,0,14.5,0,0,1,2,4,5
1,2,1,29.0,1,0,26.0,0,0,1,2,6,3
0,2,0,25.0,0,0,13.0,0,0,0,1,5,6
0,2,0,23.0,0,0,15.0458,0,1,0,1,4,21
1,1,1,19.0,0,2,26.2833,4,0,2,3,5,3
0,1,0,37.0,1,0,53.1,1,0,0,2,6,3
0,3,0,16.0,0,0,9.2167,0,0,0,1,4,3
0,1,0,24.0,0,0,79.2,6,1,0,1,5,1
0,3,1,-999.0,0,2,15.2458,0,1,1,3,4,3
1,3,1,22.0,0,0,7.75,0,0,2,1,6,3
1,3,1,24.0,1,0,15.85,0,0,1,2,7,2
0,3,0,19.0,0,0,6.75,0,2,0,1,6,3
0,2,0,18.0,0,0,11.5,0,0,0,1,6,3
0,2,0,19.0,1,1,36.75,0,0,0,3,5,6
1,3,0,27.0,0,0,7.7958,0,0,0,1,6,3
0,3,1,9.0,2,2,34.375,0,0,2,5,4,15
0,2,0,36.5,0,2,26.0,7,0,0,3,6,3
0,2,0,42.0,0,0,13.0,0,0,5,1,6,3
0,2,0,51.0,0,0,12.525,0,0,5,1,4,22
1,1,1,22.0,1,0,66.6,1,0,1,2,6,3
0,3,0,55.5,0,0,8.05,0,0,0,1,5,23
0,3,0,40.5,0,2,14.5,0,0,0,3,3,5
0,3,0,-999.0,0,0,7.3125,0,0,0,1,6,24
0,1,0,51.0,0,1,61.3792,0,1,0,2,5,1
1,3,1,16.0,0,0,7.7333,0,2,2,1,5,3
0,3,0,30.0,0,0,8.05,0,0,0,1,6,16
0,3,0,-999.0,0,0,8.6625,0,0,0,1,6,3
0,3,0,-999.0,8,2,69.55,0,0,3,11,4,25
0,3,0,44.0,0,1,16.1,0,0,0,2,6,3
1,2,1,40.0,0,0,15.75,0,0,1,1,5,6
0,3,0,26.0,0,0,7.775,0,0,0,1,6,3
0,3,0,17.0,0,0,8.6625,0,0,0,1,6,3
0,3,0,1.0,4,1,39.6875,0,0,3,6,7,3
1,3,0,9.0,0,2,20.525,0,0,3,3,6,3
1,1,1,-999.0,0,1,55.0,2,0,1,2,6,3
0,3,1,45.0,1,4,27.9,0,0,1,6,6,3
0,1,0,-999.0,0,0,25.925,0,0,0,1,5,1
0,3,0,28.0,0,0,56.4958,0,0,0,1,4,3
0,1,0,61.0,0,0,33.5,6,0,0,1,6,3
0,3,0,4.0,4,1,29.125,0,2,3,6,6,3
1,3,1,1.0,1,1,11.1333,0,0,2,3,6,3
0,3,0,21.0,0,0,7.925,0,0,0,1,7,3
0,1,0,56.0,0,0,30.6958,5,1,0,1,5,3
0,3,0,18.0,1,1,7.8542,0,0,0,3,6,3
0,3,0,-999.0,3,1,25.4667,0,0,3,5,4,3
0,1,1,50.0,0,0,28.7125,1,1,2,1,5,1
0,2,0,30.0,0,0,13.0,0,0,0,1,6,3
0,3,0,36.0,0,0,0.0,0,0,0,1,4,3
0,3,1,-999.0,8,2,69.55,0,0,2,11,4,25
0,2,0,-999.0,0,0,15.05,0,1,0,1,4,21
0,3,0,9.0,4,2,31.3875,0,0,3,7,6,3
1,2,0,1.0,2,1,39.0,7,0,3,4,6,3
1,3,1,4.0,0,2,22.025,0,0,2,3,6,3
0,1,0,-999.0,0,0,50.0,5,0,0,1,6,3
1,3,1,-999.0,1,0,15.5,0,2,1,2,6,3
1,1,0,45.0,0,0,26.55,0,0,0,1,6,3
0,3,0,40.0,1,1,15.5,0,2,0,3,6,3
0,3,0,36.0,0,0,7.8958,0,0,0,1,6,3
1,2,1,32.0,0,0,13.0,0,0,1,1,6,3
0,2,0,19.0,0,0,13.0,0,0,0,1,5,3
1,3,1,19.0,1,0,7.8542,0,0,2,2,6,3
1,2,0,3.0,1,1,26.0,7,0,3,3,6,3
1,1,1,44.0,0,0,27.7208,6,1,1,1,5,1
1,1,1,58.0,0,0,146.5208,6,1,2,1,5,1
0,3,0,-999.0,0,0,7.75,0,2,0,1,6,3
0,3,0,42.0,0,1,8.4042,0,0,0,2,4,3
1,3,1,-999.0,0,0,7.75,0,2,2,1,6,3
0,2,1,24.0,0,0,13.0,0,0,2,1,6,3
0,3,0,28.0,0,0,9.5,0,0,0,1,6,3
0,3,0,-999.0,8,2,69.55,0,0,0,11,4,25
0,3,0,34.0,0,0,6.4958,0,0,0,1,7,3
0,3,0,45.5,0,0,7.225,0,1,0,1,4,3
1,3,0,18.0,0,0,8.05,0,0,0,1,4,0
0,3,1,2.0,0,1,10.4625,3,0,2,2,6,3
0,3,0,32.0,1,0,15.85,0,0,0,2,7,3
1,3,0,26.0,0,0,18.7875,0,1,0,1,4,3
1,3,1,16.0,0,0,7.75,0,2,2,1,6,3
1,1,0,40.0,0,0,31.0,5,1,0,1,6,3
0,3,0,24.0,0,0,7.05,0,0,0,1,7,20
1,2,1,35.0,0,0,21.0,0,0,2,1,5,26
0,3,0,22.0,0,0,7.25,0,0,0,1,5,0
0,2,0,30.0,0,0,13.0,0,0,0,1,6,3
0,3,0,-999.0,1,0,7.75,0,2,0,2,6,3
1,1,1,31.0,1,0,113.275,4,1,2,2,5,3
1,3,1,27.0,0,0,7.925,0,0,2,1,7,2
0,2,0,42.0,1,0,27.0,0,0,0,2,6,3
1,1,1,32.0,0,0,76.2917,4,1,2,1,5,3
0,2,0,30.0,0,0,10.5,0,0,0,1,5,27
1,3,0,16.0,0,0,8.05,0,0,0,1,6,16
0,2,0,27.0,0,0,13.0,0,0,0,1,6,3
0,3,0,51.0,0,0,8.05,0,0,0,1,5,3
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
1,1,0,38.0,1,0,90.0,1,0,0,2,5,3
0,3,0,22.0,0,0,9.35,0,0,0,1,4,4
1,2,0,19.0,0,0,10.5,0,0,0,1,3,28
0,3,0,20.5,0,0,7.25,0,0,0,1,5,0
0,2,0,18.0,0,0,13.0,0,0,0,1,6,3
0,3,1,-999.0,3,1,25.4667,0,0,2,5,4,3
1,1,1,35.0,1,0,83.475,1,0,1,2,5,3
0,3,0,29.0,0,0,7.775,0,0,0,1,6,3
0,2,0,59.0,0,0,13.5,0,0,0,1,6,3
1,3,1,5.0,4,2,31.3875,0,0,2,7,6,3
0,2,0,24.0,0,0,10.5,0,0,0,1,5,6
0,3,1,-999.0,0,0,7.55,0,0,2,1,4,15
0,2,0,44.0,1,0,26.0,0,0,0,2,5,3
1,2,1,8.0,0,2,26.25,0,0,2,3,5,6
0,2,0,19.0,0,0,10.5,0,0,0,1,5,3
0,2,0,33.0,0,0,12.275,0,0,0,1,4,29
0,3,1,-999.0,1,0,14.4542,0,1,2,2,4,3
1,3,1,-999.0,1,0,15.5,0,2,2,2,6,3
0,2,0,29.0,0,0,10.5,0,0,0,1,5,15
0,3,0,22.0,0,0,7.125,0,0,0,1,7,3
0,3,0,30.0,0,0,7.225,0,1,0,1,4,3
0,1,0,44.0,2,0,90.0,1,2,5,3,5,3
0,3,1,25.0,0,0,7.775,0,0,2,1,6,3
1,2,1,24.0,0,2,14.5,0,0,1,3,6,3
1,1,0,37.0,1,1,52.5542,4,0,0,3,5,3
0,2,0,54.0,1,0,26.0,0,0,5,2,6,3
0,3,0,-999.0,0,0,7.25,0,0,0,1,6,3
0,3,1,29.0,1,1,10.4625,3,0,1,3,6,3
0,1,0,62.0,0,0,26.55,1,0,0,1,6,3
0,3,0,30.0,1,0,16.1,0,0,0,2,4,5
0,3,1,41.0,0,2,20.2125,0,0,1,3,6,3
1,3,1,29.0,0,2,15.2458,0,1,1,3,4,3
1,1,1,-999.0,0,0,79.2,0,1,1,1,5,1
1,1,1,30.0,0,0,86.5,6,0,2,1,6,3
1,1,1,35.0,0,0,512.3292,0,1,2,1,5,1
1,2,1,50.0,0,1,26.0,0,0,1,2,6,3
0,3,0,-999.0,0,0,7.75,0,2,0,1,6,3
1,3,0,3.0,4,2,31.3875,0,0,3,7,6,3
0,1,0,52.0,1,1,79.65,2,0,0,3,6,3
0,1,0,40.0,0,0,0.0,6,0,0,1,6,3
0,3,1,-999.0,0,0,7.75,0,2,2,1,6,3
0,2,0,36.0,0,0,10.5,0,0,0,1,5,6
0,3,0,16.0,4,1,39.6875,0,0,0,6,7,3
1,3,0,25.0,1,0,7.775,0,0,0,2,6,3
1,1,1,58.0,0,1,153.4625,1,0,1,2,5,1
1,1,1,35.0,0,0,135.6333,1,0,2,1,5,1
0,1,0,-999.0,0,0,31.0,0,0,0,1,6,3
1,3,0,25.0,0,0,0.0,0,0,0,1,4,3
1,2,1,41.0,0,1,19.5,0,0,1,2,6,3
0,1,0,37.0,0,1,29.7,1,1,0,2,5,1
1,3,1,-999.0,0,0,7.75,0,2,2,1,6,3
1,1,1,63.0,1,0,77.9583,4,0,2,2,5,3
0,3,1,45.0,0,0,7.75,0,0,2,1,6,3
0,2,0,-999.0,0,0,0.0,0,0,0,1,6,3
0,3,0,7.0,4,1,29.125,0,2,3,6,6,3
1,3,1,35.0,1,1,20.25,0,0,1,3,4,6
0,3,0,65.0,0,0,7.75,0,2,0,1,6,3
0,3,0,28.0,0,0,7.8542,0,0,0,1,6,3
0,3,0,16.0,0,0,9.5,0,0,0,1,6,3
1,3,0,19.0,0,0,8.05,0,0,0,1,5,5
0,1,0,-999.0,0,0,26.0,5,0,0,1,6,3
0,3,0,33.0,0,0,8.6625,0,1,0,1,6,3
1,3,0,30.0,0,0,9.5,0,0,0,1,6,3
0,3,0,22.0,0,0,7.8958,0,0,0,1,6,3
1,2,0,42.0,0,0,13.0,0,0,0,1,6,3
1,3,1,22.0,0,0,7.75,0,2,2,1,6,3
1,1,1,26.0,0,0,78.85,0,0,2,1,5,3
1,1,1,19.0,1,0,91.0792,6,1,1,2,5,3
0,2,0,36.0,0,0,12.875,4,1,0,1,4,8
0,3,1,24.0,0,0,8.85,0,0,2,1,6,3
0,3,0,24.0,0,0,7.8958,0,0,0,1,6,3
