Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title,Family_Size,Ticket_length,Ticket_prefix
0,1,0,-999.0,0,0,27.7208,0,1,0,1,5,1
0,3,0,23.5,0,0,7.2292,0,1,0,1,4,3
0,1,1,2.0,1,2,151.55,1,0,2,4,6,3
1,1,0,-999.0,0,0,30.5,1,0,0,1,5,3
1,1,1,50.0,0,1,247.5208,6,1,1,2,5,1
1,3,1,-999.0,0,0,7.75,0,2,2,1,4,3
1,3,0,-999.0,2,0,23.25,0,2,0,3,6,3
0,3,0,19.0,0,0,0.0,0,0,0,1,4,3
1,2,1,-999.0,0,0,12.35,2,2,2,1,6,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,4,0
1,1,0,0.92,1,2,151.55,1,0,3,4,6,3
1,1,1,-999.0,0,0,110.8833,0,1,2,1,5,3
1,1,1,17.0,1,0,108.9,1,1,1,2,5,1
0,2,0,30.0,1,0,24.0,0,1,0,2,4,30
1,1,1,30.0,0,0,56.9292,2,1,2,1,5,1
1,1,1,24.0,0,0,83.1583,1,1,2,1,5,3
1,1,1,18.0,2,2,262.375,6,1,2,5,5,1
0,2,1,26.0,1,1,26.0,0,0,1,3,6,3
0,3,0,28.0,0,0,7.8958,0,0,0,1,6,3
0,2,0,43.0,1,1,26.25,0,0,0,3,5,26
1,3,1,26.0,0,0,7.8542,0,0,2,1,6,3
1,2,1,24.0,1,0,26.0,0,0,1,2,6,3
0,2,0,54.0,0,0,14.0,0,0,5,1,5,3
1,1,1,31.0,0,2,164.8667,1,0,2,3,5,3
1,1,1,40.0,1,1,134.5,2,1,1,3,5,3
0,3,0,22.0,0,0,7.25,0,0,0,1,5,0
0,3,0,27.0,0,0,7.8958,0,0,0,1,6,3
1,2,1,30.0,0,0,12.35,0,2,2,1,6,3
1,2,1,22.0,1,1,29.0,0,0,1,3,6,3
0,3,0,-999.0,8,2,69.55,0,0,0,11,4,25
1,1,1,36.0,0,0,135.6333,1,1,2,1,5,1
0,3,0,61.0,0,0,6.2375,0,0,0,1,6,3
1,2,1,36.0,0,0,13.0,4,0,1,1,5,3
1,3,1,31.0,1,1,20.525,0,0,1,3,6,3
1,1,1,16.0,0,1,57.9792,6,1,2,2,6,3
1,3,1,-999.0,2,0,23.25,0,2,2,3,6,3
0,1,0,45.5,0,0,28.5,1,0,0,1,6,3
0,1,0,38.0,0,1,153.4625,1,0,0,2,5,1
0,3,0,16.0,2,0,18.0,0,0,0,3,6,3
1,1,1,-999.0,1,0,133.65,0,0,1,2,5,1
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
0,1,0,29.0,1,0,66.6,1,0,0,2,6,3
1,1,1,41.0,0,0,134.5,2,1,2,1,5,3
1,3,0,45.0,0,0,8.05,0,0,0,1,4,3
0,1,0,45.0,0,0,35.5,8,0,0,1,6,3
1,2,0,2.0,1,1,26.0,7,0,3,3,6,3
1,1,1,24.0,3,2,263.0,1,0,2,6,5,3
0,2,0,28.0,0,0,13.0,0,0,0,1,6,3
0,2,0,25.0,0,0,13.0,0,0,0,1,6,3
0,2,0,36.0,0,0,13.0,0,0,0,1,6,3
1,2,1,24.0,0,0,13.0,7,0,2,1,6,3
1,2,1,40.0,0,0,13.0,0,0,2,1,5,3
1,3,1,-999.0,1,0,16.1,0,0,1,2,6,3
1,3,0,3.0,1,1,15.9,0,0,3,3,5,6
0,3,0,42.0,0,0,8.6625,0,0,0,1,6,3
0,3,0,23.0,0,0,9.225,0,0,0,1,4,3
0,1,0,-999.0,0,0,35.0,1,0,0,1,6,3
0,3,0,15.0,1,1,7.2292,0,1,0,3,4,3
0,3,0,25.0,1,0,17.8,0,0,0,2,6,3
0,3,0,-999.0,0,0,7.225,0,1,0,1,4,3
0,3,0,28.0,0,0,9.5,0,0,0,1,6,3
1,1,1,22.0,0,1,55.0,2,0,2,2,6,3
0,2,1,38.0,0,0,13.0,0,0,2,1,6,3
1,3,1,-999.0,0,0,7.8792,0,2,2,1,6,3
1,3,1,-999.0,0,0,7.8792,0,2,2,1,6,3
0,3,0,40.0,1,4,27.9,0,0,0,6,6,3
0,2,0,29.0,1,0,27.7208,0,1,0,2,4,21
0,3,1,45.0,0,1,14.4542,0,1,1,2,4,3
0,3,0,35.0,0,0,7.05,0,0,0,1,7,20
0,3,0,-999.0,1,0,15.5,0,2,0,2,6,3
0,3,0,30.0,0,0,7.25,0,0,0,1,4,19
1,1,1,60.0,1,0,75.25,4,1,1,2,6,3
1,3,1,-999.0,0,0,7.2292,0,1,1,1,4,3
1,3,1,-999.0,0,0,7.75,0,2,2,1,5,3
1,1,1,24.0,0,0,69.3,6,1,4,1,5,1
1,1,0,25.0,1,0,55.4417,2,1,0,2,5,3
0,3,0,18.0,1,0,6.4958,0,0,0,2,7,3
0,3,0,19.0,0,0,8.05,0,0,0,1,6,3
0,1,0,22.0,0,0,135.6333,0,1,0,1,5,1
0,3,1,3.0,3,1,21.075,0,0,2,5,6,3
1,1,1,-999.0,1,0,82.1708,0,1,1,2,5,1
1,3,1,22.0,0,0,7.25,0,0,2,1,4,19
0,1,0,27.0,0,2,211.5,1,1,0,3,6,3
0,3,0,20.0,0,0,4.0125,0,1,0,1,4,3
0,3,0,19.0,0,0,7.775,0,0,0,1,6,3
1,1,1,42.0,0,0,227.525,0,1,2,1,5,1
1,3,1,1.0,0,2,15.7417,0,1,2,3,4,3
0,3,0,32.0,0,0,7.925,0,0,0,1,7,3
1,1,1,35.0,1,0,52.0,0,0,1,2,6,3
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
0,2,0,18.0,0,0,73.5,0,0,0,1,5,13
0,3,0,1.0,5,2,46.9,0,0,3,8,4,11
1,2,1,36.0,0,0,13.0,0,0,2,1,5,3
0,3,0,-999.0,0,0,7.7292,0,2,0,1,6,3
1,2,1,17.0,0,0,12.0,0,1,2,1,4,31
1,1,0,36.0,1,2,120.0,6,0,0,4,6,3
1,3,0,21.0,0,0,7.7958,0,0,0,1,6,3
0,3,0,28.0,2,0,7.925,0,0,0,3,7,3
1,1,1,23.0,1,0,113.275,4,1,2,2,5,3
1,3,1,24.0,0,2,16.7,3,0,1,3,4,4
0,3,0,22.0,0,0,7.7958,0,0,0,1,6,3
0,3,1,31.0,0,0,7.8542,0,0,2,1,6,3
0,2,0,46.0,0,0,26.0,0,0,0,1,5,3
0,2,0,23.0,0,0,10.5,0,0,5,1,6,3
1,2,1,28.0,0,0,12.65,0,0,1,1,6,3
1,3,0,39.0,0,0,7.925,0,0,0,1,7,3
0,3,0,26.0,0,0,8.05,0,0,0,1,6,3
0,3,1,21.0,1,0,9.825,0,0,2,2,4,3
0,3,0,28.0,1,0,15.85,0,0,0,2,7,2
0,3,1,20.0,0,0,8.6625,0,0,2,1,6,3
0,2,0,34.0,1,0,21.0,0,0,0,2,5,3
0,3,0,51.0,0,0,7.75,0,0,0,1,6,3
1,2,0,3.0,1,1,18.75,0,0,3,3,5,3
0,3,0,21.0,0,0,7.775,0,0,0,1,6,3
0,3,1,-999.0,3,1,25.4667,0,0,2,5,4,3
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
0,3,0,-999.0,0,0,6.8583,0,2,0,1,6,3
1,1,1,33.0,1,0,90.0,1,2,2,2,5,3
0,2,0,-999.0,0,0,0.0,0,0,0,1,6,3
1,3,0,44.0,0,0,7.925,0,0,0,1,7,3
0,3,1,-999.0,0,0,8.05,0,0,1,1,6,3
1,2,1,34.0,1,1,32.5,0,0,1,3,5,3
1,2,1,18.0,0,2,13.0,0,0,2,3,6,3
0,2,0,30.0,0,0,13.0,0,0,0,1,5,3
0,3,1,10.0,0,2,24.15,0,0,2,3,6,3
0,3,0,-999.0,0,0,7.8958,0,1,0,1,6,3
0,3,0,21.0,0,0,7.7333,0,2,0,1,5,5
0,3,0,29.0,0,0,7.875,0,0,0,1,6,3
0,3,1,28.0,1,1,14.4,0,0,1,3,6,3
0,3,0,18.0,1,1,20.2125,0,0,0,3,6,3
0,3,0,-999.0,0,0,7.25,0,0,0,1,5,10
1,2,1,28.0,1,0,26.0,0,0,1,2,4,3
1,2,1,19.0,0,0,26.0,0,0,2,1,6,3
0,3,0,-999.0,0,0,7.75,0,2,0,1,6,3
1,3,0,32.0,0,0,8.05,2,0,0,1,6,20
1,1,0,28.0,0,0,26.55,1,0,0,1,6,3
1,3,1,-999.0,1,0,16.1,0,0,1,2,6,3
1,2,1,42.0,1,0,26.0,0,0,1,2,4,32
0,3,0,17.0,0,0,7.125,0,0,0,1,7,3
0,1,0,50.0,1,0,55.9,2,0,0,2,5,3
1,1,1,14.0,1,2,120.0,6,0,2,4,6,3
0,3,1,21.0,2,2,34.375,0,0,2,5,4,15
1,2,1,24.0,2,3,18.75,0,0,1,6,5,3
0,1,0,64.0,1,4,263.0,1,0,0,6,5,3
0,2,0,31.0,0,0,10.5,0,0,0,1,5,6
1,2,1,45.0,1,1,26.25,0,0,1,3,5,26
0,3,0,20.0,0,0,9.5,0,0,0,1,6,3
0,3,0,25.0,1,0,7.775,0,0,0,2,6,3
1,2,1,28.0,0,0,13.0,0,0,4,1,6,3
1,3,0,-999.0,0,0,8.1125,0,0,0,1,5,3
1,1,0,4.0,0,2,81.8583,5,0,3,3,5,3
1,2,1,13.0,0,1,19.5,0,0,2,2,6,3
1,1,0,34.0,0,0,26.55,0,0,0,1,6,3
1,3,1,5.0,2,1,19.2583,0,1,2,4,4,3
1,1,0,52.0,0,0,30.5,1,0,5,1,6,3
0,2,0,36.0,1,2,27.75,0,0,0,4,5,6
0,3,0,-999.0,1,0,19.9667,0,0,0,2,5,3
0,1,0,30.0,0,0,27.75,1,1,0,1,6,3
1,1,0,49.0,1,0,89.1042,1,1,0,2,5,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,4,0
1,3,0,29.0,0,0,7.8958,0,1,0,1,6,3
0,1,0,65.0,0,0,26.55,2,0,0,1,5,3
1,1,1,-999.0,1,0,51.8625,4,0,1,2,5,3
1,2,1,50.0,0,0,10.5,0,0,2,1,5,26
0,3,0,-999.0,0,0,7.75,0,2,0,1,6,3
1,1,0,48.0,0,0,26.55,2,0,0,1,5,3
0,3,0,34.0,0,0,8.05,0,0,0,1,6,3
0,1,0,47.0,0,0,38.5,2,0,0,1,6,3
0,2,0,48.0,0,0,13.0,0,0,0,1,6,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,4,33
0,3,0,38.0,0,0,7.05,0,0,0,1,7,20
0,2,0,-999.0,0,0,0.0,0,0,0,1,6,3
0,1,0,56.0,0,0,26.55,0,0,0,1,6,3
0,3,0,-999.0,0,0,7.725,0,2,0,1,5,3
1,3,1,0.75,2,1,19.2583,0,1,2,4,4,3
0,3,0,-999.0,0,0,7.25,0,0,0,1,6,3
0,3,0,38.0,0,0,8.6625,0,0,0,1,6,3
1,2,1,33.0,1,2,27.75,0,0,1,4,5,6
1,2,1,23.0,0,0,13.7917,4,1,1,1,3,3
0,3,1,22.0,0,0,9.8375,0,0,2,1,4,3
0,1,0,-999.0,0,0,52.0,5,0,0,1,6,3
0,2,0,34.0,1,0,21.0,0,0,0,2,5,3
0,3,0,29.0,1,0,7.0458,0,0,0,2,4,3
0,3,0,22.0,0,0,7.5208,0,0,0,1,6,3
1,3,1,2.0,0,1,12.2875,0,0,2,2,7,3
0,3,0,9.0,5,2,46.9,0,0,3,8,4,11
0,2,0,-999.0,0,0,0.0,0,0,0,1,6,3
0,3,0,50.0,0,0,8.05,0,0,0,1,4,0
1,3,1,63.0,0,0,9.5875,0,0,1,1,4,3
1,1,0,25.0,1,0,91.0792,6,1,0,2,5,3
0,3,1,-999.0,3,1,25.4667,0,0,2,5,4,3
1,1,1,35.0,1,0,90.0,1,0,1,2,5,3
0,1,0,58.0,0,0,29.7,6,1,0,1,5,3
0,3,0,30.0,0,0,8.05,0,0,0,1,5,23
1,3,0,9.0,1,1,15.9,0,0,3,3,5,6
0,3,0,-999.0,1,0,19.9667,0,0,0,2,5,3
0,3,0,21.0,0,0,7.25,0,0,0,1,7,16
0,1,0,55.0,0,0,30.5,1,0,0,1,6,3
0,1,0,71.0,0,0,49.5042,0,1,0,1,5,1
0,3,0,21.0,0,0,8.05,0,0,0,1,5,34
0,3,0,-999.0,0,0,14.4583,0,1,0,1,4,3
1,1,1,54.0,1,0,78.2667,4,1,2,2,5,3
0,3,0,-999.0,0,0,15.1,0,0,0,1,4,6
0,1,1,25.0,1,2,151.55,1,0,1,4,6,3
0,3,0,24.0,0,0,7.7958,0,0,0,1,6,3
0,3,0,17.0,0,0,8.6625,0,0,0,1,6,3
0,3,1,21.0,0,0,7.75,0,2,2,1,6,3
0,3,1,-999.0,0,0,7.6292,0,2,2,1,6,3
0,3,1,37.0,0,0,9.5875,0,0,2,1,4,3
1,1,1,16.0,0,0,86.5,6,0,2,1,6,3
0,1,0,18.0,1,0,108.9,1,1,0,2,5,1
1,2,1,33.0,0,2,26.0,0,0,1,3,5,3
1,1,0,-999.0,0,0,26.55,0,0,0,1,6,3
0,3,0,28.0,0,0,22.525,0,0,0,1,4,19
1,3,0,26.0,0,0,56.4958,0,0,0,1,4,3
1,3,0,29.0,0,0,7.75,0,2,0,1,6,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,7,16
1,1,0,36.0,0,0,26.2875,2,0,0,1,5,1
1,1,1,54.0,1,0,59.4,0,1,1,2,5,1
0,3,0,24.0,0,0,7.4958,0,0,0,1,6,3
0,1,0,47.0,0,0,34.0208,4,0,0,1,5,3
1,2,1,34.0,0,0,10.5,7,0,1,1,5,6
0,3,0,-999.0,0,0,24.15,0,2,0,1,6,3
1,2,1,36.0,1,0,26.0,0,0,1,2,6,3
0,3,0,32.0,0,0,7.8958,0,0,0,1,6,3
1,1,1,30.0,0,0,93.5,6,0,2,1,5,3
0,3,0,22.0,0,0,7.8958,0,0,0,1,6,3
0,3,0,-999.0,0,0,7.225,0,1,0,1,4,3
1,1,1,44.0,0,1,57.9792,6,1,1,2,6,3
0,3,0,-999.0,0,0,7.2292,0,1,0,1,4,3
0,3,0,40.5,0,0,7.75,0,2,0,1,6,3
1,2,1,50.0,0,0,10.5,0,0,2,1,5,15
0,1,0,-999.0,0,0,221.7792,1,0,0,1,5,1
0,3,0,39.0,0,0,7.925,0,0,0,1,7,3
0,2,0,23.0,2,1,11.5,0,0,0,4,5,3
1,2,1,2.0,1,1,26.0,0,0,2,3,5,3
0,3,0,-999.0,0,0,7.2292,0,1,0,1,4,3
0,3,0,17.0,1,1,7.2292,0,1,0,3,4,3
1,3,1,-999.0,0,2,22.3583,0,1,1,3,4,3
0,3,1,30.0,0,0,8.6625,0,0,2,1,6,3
1,2,1,7.0,0,2,26.25,0,0,2,3,5,26
0,1,0,45.0,0,0,26.55,6,0,5,1,6,3
1,1,1,30.0,0,0,106.425,0,1,2,1,5,1
0,3,0,-999.0,0,0,14.5,0,0,0,1,6,3
1,1,1,22.0,0,2,49.5,6,1,2,3,5,3
1,1,1,36.0,0,2,71.0,6,0,2,3,4,35
0,3,1,9.0,4,2,31.275,0,0,2,7,6,3
0,3,1,11.0,4,2,31.275,0,0,2,7,6,3
1,2,0,32.0,1,0,26.0,0,0,0,2,4,3
0,1,0,50.0,1,0,106.425,1,1,0,2,5,1
0,1,0,64.0,0,0,26.0,0,0,0,1,3,3
1,2,1,19.0,1,0,26.0,0,0,1,2,4,3
1,2,0,-999.0,0,0,13.8625,0,1,0,1,4,21
0,3,0,33.0,1,1,20.525,0,0,0,3,6,3
1,2,0,8.0,1,1,36.75,0,0,3,3,5,6
1,1,0,17.0,0,2,110.8833,1,1,0,3,5,3
0,2,0,27.0,0,0,26.0,0,0,0,1,6,3
0,3,0,-999.0,0,0,7.8292,0,2,0,1,6,3
1,3,0,22.0,0,0,7.225,0,1,0,1,4,3
1,3,1,22.0,0,0,7.775,0,0,2,1,6,3
0,1,0,62.0,0,0,26.55,0,0,0,1,6,3
1,1,1,48.0,1,0,39.6,5,1,5,2,5,3
0,1,0,-999.0,0,0,227.525,0,1,0,1,5,1
1,1,1,39.0,1,1,79.65,2,0,1,3,6,3
1,3,1,36.0,1,0,17.4,0,0,1,2,6,3
0,3,0,-999.0,0,0,7.75,0,2,0,1,6,3
0,3,0,40.0,0,0,7.8958,0,0,0,1,6,3
0,2,0,28.0,0,0,13.5,0,0,0,1,6,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,6,16
0,3,1,-999.0,0,0,8.05,0,0,2,1,6,20
0,3,0,24.0,2,0,24.15,0,0,0,3,5,34
0,3,0,19.0,0,0,7.8958,0,0,0,1,6,3
0,3,1,29.0,0,4,21.075,0,0,1,5,6,3
0,3,0,-999.0,0,0,7.2292,0,1,0,1,4,3
1,3,0,32.0,0,0,7.8542,0,0,0,1,6,3
1,2,0,62.0,0,0,10.5,0,0,0,1,3,36
1,1,1,53.0,2,0,51.4792,1,0,1,3,5,3
1,1,0,36.0,0,0,26.3875,2,0,0,1,5,1
1,3,1,-999.0,0,0,7.75,0,2,2,1,5,3
0,3,0,16.0,0,0,8.05,0,0,0,1,5,10
0,3,0,19.0,0,0,14.5,0,0,0,1,6,3
1,2,1,34.0,0,0,13.0,0,0,2,1,6,3
1,1,1,39.0,1,0,55.9,2,0,1,2,5,3
0,3,1,-999.0,1,0,14.4583,0,1,1,2,4,3
1,3,0,32.0,0,0,7.925,0,0,0,1,7,3
1,2,1,25.0,1,1,30.0,0,0,2,3,6,3
1,1,1,39.0,1,1,110.8833,1,1,1,3,5,3
0,2,0,54.0,0,0,26.0,0,0,0,1,5,3
0,1,0,36.0,0,0,40.125,5,1,0,1,5,3
0,3,0,-999.0,0,0,8.7125,0,1,0,1,4,3
1,1,1,18.0,0,2,79.65,2,0,2,3,6,3
0,2,0,47.0,0,0,15.0,0,0,0,1,6,3
1,1,0,60.0,1,1,79.2,6,1,0,3,5,3
0,3,0,22.0,0,0,8.05,0,0,0,1,5,3
0,3,0,-999.0,0,0,8.05,0,0,0,1,4,7
0,3,0,35.0,0,0,7.125,0,0,0,1,7,3
1,1,1,52.0,1,0,78.2667,4,1,1,2,5,3
